JOBNAME;ExecutableName;BatFile;LogFile;Control-m FOLDER;Control-m APPLICATION;Control-m SUB_APPLICATION
dir.cms.TEST;;DIR;;TEST_DIO_II;TESTING;TESTING
TYPE.DEALING;;type;;TEST_DIO_II;TESTING;TESTING
P.JU.GR.BKTDB.BKTDB.pwd;;pwd;;TEST_DIO_II;TESTING;TESTING
P.JW.GR.TEST.USER.CONTROLM;;DIR;;TEST_DIO_II;TESTING;TESTING
execute_ls;;control/cat/r/prod.sh;;cards_prod/DS_DEMO_PROD;TESTING;
joba;;ls;;cards_prod/change_manager_folder_PROD;TESTING;
jobb;;dir;;cards_prod/change_manager_folder_PROD;TESTING;
prepare_data;;echo;;NBG_DS;TESTING;cross_platform
DAJ00182;;G:\WINSCHED\DCR\DAJ00182\DAJ00182.bat;;DCRD199;SYDIPEL;SYDIPEL
DEXPD198;;G:\WINSCHED\DFR\DEXPD198\DEXPD198.bat;;DCRD167;SYDIPEL;SYDIPEL
EDW_TEST;\\S000013845\WINSCHED\EDO\Packages\EDO_E_FL_SAPBW_CST_INDC_D.dtsx;\\S000013845\winsched\EDO\EDOPD002\EDO_E_FL_SAPBW_CST_INDC_D.bat;\\S000013845\winsched\EDO\EDOPD002\OUTPUT.LOG;EDW_TEST;TESTING;EDW_TEST
P.JW.GR.IAM.INTELLIMATCH.IAMLOADINTELLIMATCH.EXE;;G:\winsched\Intellimatch\IAmLoad\IAmLoadIntellimatch.exe;;P.FL.GR.IAM.INTELLIMATCH;PAYMENTS;PAYMENTS.INTELLIMATCH
P.JW.GR.DTQ.SP_DQ_DROPTEMPTABLES.BAT;;G:\WINSCHED\WN\WNS\WNSPD304\SP_DQ_DropTempTables.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.DTQ.SP_DQ_DELETETRIGGERS.BAT;;G:\WINSCHED\WN\WNS\WNSPD332\SP_DQ_DeleteTriggers.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.DTQ.DQ_CLEANTABLESDETAILS.BAT;;D:\SAS\sas_repo\DQ_Monitoring\Maintenance\Server\DQ_CleanTablesDetails.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
