FROM_JOB;TO_JOB
04.00AM;P.FT.GR.CMS.MERCHANT_CLEARING.IBMIW4MRCCLR.TO.BIGDATA
083152;KFT0E387
1_OUTPFM;KFTPDEM3
AACPD012;CAJ00200
AACPD241;AAJ00071
AACPD241;AAJ00072
AACPD280;AAJ00043
AACPD704;CAJ00200
AACPD777;AAJ00080
AACPDZ91;DPAJ0094
AAJ00003;AAJ00004
AAJ00004;AAJ00005
AAJ00005;AAJ00006
AAJ00006;AAJ00007
AAJ00007;CBSKTSVL
AAJ00009;AAJ00010
AAJ00034;AFT00036
AAJ00035;AAJ00035.2
AAJ00047;IFT00FEE
AAJ00048;IFT00FEE
AAJ00049;IFT00FEE
AAJ00050;IFT00FEE
AAJ00051;IFT00FEE
AAJ00052;IFT00FEE
AAJ00053;IFT00FEE
AAJ00056;AACPDLP2
AAJ00063;AFT00049
AAJ00064;AFT00050
AAJ00067;AFT00041
AAJ00068;AFT00041
AAJ00069;AFT00041
AAJ00070;AFT00041
AAJ00071;AFT00055
AAJ00072;AFT00056
AAJ00078;AFTPD027
AAJ00080;AFT00377
ACTIVEACCOUNTSCONTRACTS;AFT00384
ADD.CONDITIONS.NBG_TRG;P.FT.GR.EDW.SAA.FILES.TO.EDW
ADD.CONDITIONS.NBG_TRG;P.FT.GR.EDW.SAA.FILES.TO.EDW.BACKUP.TRGONLY
ADD.CONDITIONS.NBG_WD;OAFPDMPA
ADD.CONDITIONS.NBG_WD;P.EW.GR.GPP.CASH4PS.DCT
ADD.CONDITIONS.NBG_WD;P.FL.GR.EDW.MAVROS_TEIRESIAS.PUT
ADD.CONDITIONS.NBG_WD;P.FT.GR.EDW.SAA.FILES.TO.EDW.GRONLY
ADDCN2;DELCN2
ADDCON;DELCOND
AEXPD027;AFTPD027
AEXPD155;FWCPD155
AEXPD301;AFTPD301
AEXPD302;AFTPD302
AEXPD303;AFTPD303
AFT00023;AAJ00018
AFT00023;CBSIT005
AFT00037;AAJ00035
AFT00037;BADTOINS
AFT00044;AAJ00060
AFT00045;AAJ00062
AFT00051;AAJ00065
AFT00052;AAJ00066
AFT00053;AAJ00065
AFT00054;AAJ00066
AFT00057;AAJ00073
AFT00058;AAJ00074
AFT00059;AAJ00073
AFT00060;AAJ00074
AFT00073;AAJ00075
AFT00083;AEX00083
AFT00084;AEX00084
AFT00085;AAJ00077
AFT00088;AAJ00079
AFT00089;EPCARD01
AFT00378;AAJ00081
AFT00380;XREWSEIS_EXODWN_REJ.TXT
AFT00383;WEBEXTRA
AFT00383;WEBINSER
AFT00385;STAGINGTABLES
AFT00389;TRNCHDT
AFTPD027;AAJ00047
AFTPD027;AAJ00048
AFTPD027;AAJ00049
AFTPD027;AAJ00050
AFTPD027;AAJ00051
AFTPD027;AAJ00052
AFTPD027;AAJ00053
AFTPD093;ORDERS.GETLOANFILES
AFTPD290;BANCFPPP
AFTPD290;CBSSXBD1
AFTPDW08;EDWPDG0C
AFTPMS25;SASPMR23
AFTPMS26;SASPMR24
ARFPDAI2;WNSPD334
ATMTRIGG;KRDPD031
AUDIT.LOG.B2P;AUDIT.LOG.ERP
AUDIT.LOG.BB4;AUDIT.LOG.BWP
AUDIT.LOG.BS4;AUDIT.LOG.BB4
AUDIT.LOG.BWP;AUDIT.LOG.B2P
AUDIT.LOG.E04;AUDIT.LOG.MBP
AUDIT.LOG.ERP;AUDIT.LOG.HRP
AUDIT.LOG.MBP;AUDIT.LOG.SRP
AUDIT.LOG.SRP;AUDIT.LOG.BS4
AXE.AML_EXPORT;OFT00132
AXEACCOUNTINFO.TXT;OFT00145
AXIPDLOG;CCSCOMMISSIONS
AZR.IMPSCHED;KIBPDSCH
AZR.MINI_EXPORT_2;SFTPDTD2
AZRCMPLI;KFT00350
AZRCRDLN;AFT00071
AZREXPRT;KFT00348
AZRSEMAN;KFT00351
AZTRDIND;DFT00355
AZTRDLNK;DFT00355
AZTRPIND;DFT00355
AZTRXIND;DFT00355
BALYKOPR;KFT00360
BATCHPG01;P.FT.GR.400.BATCHPF01.FROM.AS400
BEX00001;EDWPD30U
BEX00001;EDWPD31G
BEXPDCL1;EDWPDH20
BEXPDCL1;EDWPDH21
BEXPDCL1;EDWPDH22
BEXPDCL1;EDWPDH23
BEXPDCL1;EDWPDH24
BEXPDLC1;EDWPD30M
BEXPDLC1;EDWPD30N
BEXPDLC1;EDWPD30O
BEXPDLC1;EDWPD30P
BEXPDLC1;EDWPD30Q
BEXPDLC1;EDWPD30R
BEXPDLC1;EDWPD30S
BEXPDLC1;EDWPD30T
BEXPDLC1;EDWPD31F
BHVRLSCR;DFT00231
BICDIRCO;SFT00074
BTRPDBAE;SSNPDBTE
BTRPDCL1;BEXPDCL1
BTRPDDUG;P.FT.GR.BTR.DUG1
BTRPDLC1;BEXPDLC1
BTRPDLG1;BEX00001
BTRPDLUM;SFT00073
BTRPDUMY;BTRPDCL1
BTRPDUMY;BTRPDLC1
BTRPDUMY;BTRPDLG1
C97PD033;TEMPW001
C97PD076;CAJ00170
C97PD076;TEMPW001
C97PD094;TEMPW001
C97PD094;TEMPW002
C97PD425;IAPPD001
C97PD502;DDWPMBR1
C97PD521;DDWPDCW4
